Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
SPY,2007-01-03 00:00:00-05:00,100.3091897644251,100.73933856569167,99.12452400612784,99.68864440917969,94807600,0.0,0.0,0.0
SPY,2007-01-04 00:00:00-05:00,99.58990438004373,100.16814167722123,99.15270791821054,99.90017700195312,69620600,0.0,0.0,0.0
SPY,2007-01-05 00:00:00-05:00,99.66040044849137,99.70975612087918,98.99049968389762,99.10331726074219,76645300,0.0,0.0,0.0
SPY,2007-01-08 00:00:00-05:00,99.30077752705472,99.71681993611216,98.89883059091575,99.56168365478516,71655000,0.0,0.0,0.0
SPY,2007-01-09 00:00:00-05:00,99.6463512879448,99.8508541104136,99.00465186005918,99.47711944580078,75680100,0.0,0.0,0.0
SPY,2007-01-10 00:00:00-05:00,99.13156111164943,99.82967456141596,98.93411683977915,99.80850982666016,72428000,0.0,0.0,0.0
SPY,2007-01-11 00:00:00-05:00,99.83667192997702,100.57003446122573,99.78025777220397,100.24566650390625,54476800,0.0,0.0,0.0
SPY,2007-01-12 00:00:00-05:00,100.23867496182123,101.00730895996094,100.21047324404809,101.00730895996094,55370600,0.0,0.0,0.0
SPY,2007-01-16 00:00:00-05:00,100.88739022352209,101.14829635239299,100.64762730412131,100.80982208251953,44871300,0.0,0.0,0.0
SPY,2007-01-17 00:00:00-05:00,100.73226623960021,101.16241493587485,100.64763959187276,100.85214233398438,50241400,0.0,0.0,0.0
SPY,2007-01-18 00:00:00-05:00,100.95791920734798,101.02138112762402,100.35148019604277,100.51366424560547,68177300,0.0,0.0,0.0
SPY,2007-01-19 00:00:00-05:00,100.51363512661528,100.90853428926398,100.4572317204246,100.71109008789062,56973000,0.0,0.0,0.0
SPY,2007-01-22 00:00:00-05:00,100.88744197120891,100.90859595143247,100.08354768307954,100.40087890625,60253600,0.0,0.0,0.0
SPY,2007-01-23 00:00:00-05:00,100.31619040821491,100.89442753775808,100.17516037366109,100.69698333740234,54064400,0.0,0.0,0.0
SPY,2007-01-24 00:00:00-05:00,100.81691003956655,101.52911906570309,100.77460208394164,101.50796508789062,55834700,0.0,0.0,0.0
SPY,2007-01-25 00:00:00-05:00,101.44443130253353,101.48673922819223,100.13987954192514,100.31616973876953,73583800,0.0,0.0,0.0
SPY,2007-01-26 00:00:00-05:00,100.53483624450118,100.59123967110827,99.83672279129735,100.22456359863281,67255600,0.0,0.0,0.0
SPY,2007-01-29 00:00:00-05:00,100.26688926812562,100.69703810138705,99.94956882782965,100.16816711425781,66114600,0.0,0.0,0.0
SPY,2007-01-30 00:00:00-05:00,100.3796643713799,100.739292578141,100.17516167270828,100.68992614746094,70407600,0.0,0.0,0.0
SPY,2007-01-31 00:00:00-05:00,100.57715095612018,101.63489281456107,100.41495612402649,101.36692810058594,91868600,0.0,0.0,0.0
SPY,2007-02-01 00:00:00-05:00,101.6489260429023,102.00856494087134,101.47969433552866,101.97330474853516,69312400,0.0,0.0,0.0
SPY,2007-02-02 00:00:00-05:00,102.05795807694533,102.2130943722691,101.81115815976946,102.11437225341797,49607000,0.0,0.0,0.0
SPY,2007-02-05 00:00:00-05:00,102.03682800195496,102.20607057100813,101.78296952832845,102.14260864257812,45705300,0.0,0.0,0.0
SPY,2007-02-06 00:00:00-05:00,102.22719817171111,102.26950611308199,101.77589553058219,102.17078399658203,57081300,0.0,0.0,0.0
SPY,2007-02-07 00:00:00-05:00,102.33296592797356,102.50220844989242,101.94513596675269,102.39643859863281,55669700,0.0,0.0,0.0
SPY,2007-02-08 00:00:00-05:00,102.09321627517873,102.3329684505462,101.73358801212753,102.26245880126953,70641000,0.0,0.0,0.0
SPY,2007-02-09 00:00:00-05:00,102.29067733373984,102.48107386192038,101.11305947407787,101.50090026855469,79084400,0.0,0.0,0.0
SPY,2007-02-12 00:00:00-05:00,101.50087486153059,101.57138450475517,100.97200411778347,101.15534210205078,65657000,0.0,0.0,0.0
SPY,2007-02-13 00:00:00-05:00,101.38099026937397,102.17781480629553,101.37393177371236,102.00858306884766,64081800,0.0,0.0,0.0
SPY,2007-02-14 00:00:00-05:00,102.10730343169195,102.8829739882349,102.09319720051066,102.67848205566406,66039400,0.0,0.0,0.0
SPY,2007-02-15 00:00:00-05:00,102.7208179827966,102.91826223353519,102.55157544220438,102.81249237060547,38715200,0.0,0.0,0.0
SPY,2007-02-16 00:00:00-05:00,102.55859250593693,102.78423837566082,102.41050399775848,102.7630844116211,39841800,0.0,0.0,0.0
SPY,2007-02-20 00:00:00-05:00,102.6432760804386,103.09457887753128,102.24838747797092,102.98175048828125,56911800,0.0,0.0,0.0
SPY,2007-02-21 00:00:00-05:00,102.67851642270097,103.00289528903143,102.49517839558699,102.93942260742188,63971600,0.0,0.0,0.0
SPY,2007-02-22 00:00:00-05:00,102.98877387904518,103.24968002532489,102.3682287096191,102.8618392944336,79067400,0.0,0.0,0.0
SPY,2007-02-23 00:00:00-05:00,102.77017247740497,102.80542192101368,102.26950341130103,102.45989990234375,71966200,0.0,0.0,0.0
SPY,2007-02-26 00:00:00-05:00,102.83362629422335,102.91824216807,102.07205114989593,102.36821746826172,69192800,0.0,0.0,0.0
SPY,2007-02-27 00:00:00-05:00,101.45856551395389,101.68421143300141,98.01737647928218,98.36995697021484,274466500,0.0,0.0,0.0
SPY,2007-02-28 00:00:00-05:00,98.99755184175928,100.11875524351768,98.58150943631226,99.37833404541016,177536300,0.0,0.0,0.0
SPY,2007-03-01 00:00:00-05:00,98.25710879983826,99.60396858574553,97.34745605118131,99.08214569091797,212828600,0.0,0.0,0.0
SPY,2007-03-02 00:00:00-05:00,98.75783975805821,99.18798857074444,97.77766600585937,97.78471374511719,162574000,0.0,0.0,0.0
SPY,2007-03-05 00:00:00-05:00,97.2628504838868,98.42637257689263,96.83976034453245,96.85386657714844,143750400,0.0,0.0,0.0
SPY,2007-03-06 00:00:00-05:00,97.86227741627278,98.80719090891509,97.11480821284208,98.51102447509766,143333300,0.0,0.0,0.0
SPY,2007-03-07 00:00:00-05:00,98.43343882402488,99.04693631930857,98.29945648873414,98.41228485107422,115144900,0.0,0.0,0.0
SPY,2007-03-08 00:00:00-05:00,99.10332107113364,99.54052820286262,98.77190530403831,99.2443618774414,117891600,0.0,0.0,0.0
SPY,2007-03-09 00:00:00-05:00,99.64632520398908,99.72389336463662,98.77897996031618,99.27259063720703,107765100,0.0,0.0,0.0
SPY,2007-03-12 00:00:00-04:00,99.01873015359315,99.66747713849907,98.83539212304548,99.4206771850586,80366900,0.0,0.0,0.0
